"zcta","county","CountyName","ZIPName","pop20","afact"
"ZIP census tabulation area","County code","County name","ZIP Code name","Total population (2020 Census)","zcta-to-county allocation factor"
" ","25001","Barnstable MA","[not in a ZCTA]",1,0.0769 
" ","25023","Plymouth MA","[not in a ZCTA]",12,0.9231 
"01001","25013","Hampden MA","Agawam, MA",16984,1 
"01002","25011","Franklin MA","Amherst, MA",341,0.0124 
"01002","25015","Hampshire MA","Amherst, MA",27217,0.9876 
"01003","25015","Hampshire MA","Amherst, MA",13253,1 
"01005","25027","Worcester MA","Barre, MA",4900,1 
"01007","25015","Hampshire MA","Belchertown, MA",15423,1 
"01008","25003","Berkshire MA","Blandford, MA",70,0.0532 
"01008","25013","Hampden MA","Blandford, MA",1247,0.9468 
"01009","25013","Hampden MA","Bondsville, MA (PO boxes)",980,1 
"01010","25013","Hampden MA","Brimfield, MA",3694,0.9954 
"01010","25027","Worcester MA","Brimfield, MA",17,0.0046 
"01011","25013","Hampden MA","Chester, MA",1042,0.8676 
"01011","25015","Hampshire MA","Chester, MA",159,0.1324 
"01012","25015","Hampshire MA","Chesterfield, MA",519,1 
"01013","25013","Hampden MA","Chicopee, MA",23656,1 
"01020","25013","Hampden MA","Chicopee, MA",29781,1 
"01022","25013","Hampden MA","Chicopee, MA",2158,1 
"01026","25003","Berkshire MA","Cummington, MA",48,0.0475 
"01026","25015","Hampshire MA","Cummington, MA",963,0.9525 
"01027","25015","Hampshire MA","Easthampton, MA",17896,1 
"01028","25013","Hampden MA","East Longmeadow, MA",16417,1 
"01029","25003","Berkshire MA","East Otis, MA (PO boxes)",714,1 
"01030","25013","Hampden MA","Feeding Hills, MA",11708,1 
"01031","25027","Worcester MA","Gilbertville, MA",1406,1 
"01032","25015","Hampshire MA","Goshen, MA",483,1 
"01033","25015","Hampshire MA","Granby, MA",6092,1 
"01034","25013","Hampden MA","Granville, MA",1977,1 
"01035","25015","Hampshire MA","Hadley, MA",5325,1 
"01036","25013","Hampden MA","Hampden, MA",4966,1 
"01037","25027","Worcester MA","Hardwick, MA (PO boxes)",706,1 
"01038","25015","Hampshire MA","Hatfield, MA",2522,1 
"01039","25011","Franklin MA","Haydenville, MA",343,0.227 
"01039","25015","Hampshire MA","Haydenville, MA",1168,0.773 
"01040","25013","Hampden MA","Holyoke, MA",38238,1 
"01050","25013","Hampden MA","Huntington, MA",322,0.1305 
"01050","25015","Hampshire MA","Huntington, MA",2145,0.8695 
"01053","25015","Hampshire MA","Leeds, MA",2031,1 
"01054","25011","Franklin MA","Leverett, MA",1889,1 
"01056","25013","Hampden MA","Ludlow, MA",21002,1 
"01057","25013","Hampden MA","Monson, MA",8152,1 
"01060","25015","Hampshire MA","Northampton, MA",14461,1 
"01062","25015","Hampshire MA","Florence, MA",10910,1 
"01063","25015","Hampshire MA","Northampton, MA",2106,1 
"01066","25015","Hampshire MA","North Hatfield, MA (PO boxes)",215,1 
"01068","25027","Worcester MA","Oakham, MA",1904,1 
"01069","25013","Hampden MA","Palmer, MA",8412,0.9981 
"01069","25015","Hampshire MA","Palmer, MA",16,0.0019 
