ZIP_CODE,STATE,ZIP_TYPE,RUCA1,RUCA2
00158,MA,Zip Code Area,10,10.0
01001,MA,Zip Code Area,1,1.0
01002,MA,Zip Code Area,1,1.0
01003,MA,Zip Code Area,1,1.0
01004,MA,Post Office or large volume customer,1,1.0
01005,MA,Zip Code Area,2,2.0
01007,MA,Zip Code Area,1,1.0
01008,MA,Zip Code Area,2,2.0
01009,MA,Post Office or large volume customer,1,1.0
01010,MA,Zip Code Area,2,2.1
01011,MA,Zip Code Area,2,2.0
01012,MA,Zip Code Area,2,2.0
01013,MA,Zip Code Area,1,1.0
01014,MA,Post Office or large volume customer,1,1.0
01020,MA,Zip Code Area,1,1.0
01021,MA,Post Office or large volume customer,1,1.0
01022,MA,Zip Code Area,1,1.0
01026,MA,Zip Code Area,2,2.0
01027,MA,Zip Code Area,1,1.0
01028,MA,Zip Code Area,1,1.0
01029,MA,Post Office or large volume customer,10,10.0
01030,MA,Zip Code Area,1,1.0
01031,MA,Zip Code Area,3,3.0
01032,MA,Zip Code Area,2,2.0
01033,MA,Zip Code Area,1,1.0
01034,MA,Zip Code Area,2,2.0
01035,MA,Zip Code Area,1,1.0
01036,MA,Zip Code Area,1,1.0
01037,MA,Zip Code Area,3,3.0
01038,MA,Zip Code Area,2,2.0
01039,MA,Zip Code Area,2,2.0
01040,MA,Zip Code Area,1,1.0
01041,MA,Post Office or large volume customer,1,1.0
01050,MA,Zip Code Area,2,2.0
01053,MA,Zip Code Area,1,1.0
01054,MA,Zip Code Area,2,2.0
01056,MA,Zip Code Area,1,1.0
01057,MA,Zip Code Area,2,2.0
01059,MA,Post Office or large volume customer,1,1.0
01060,MA,Zip Code Area,1,1.0
01061,MA,Post Office or large volume customer,1,1.0
01062,MA,Zip Code Area,1,1.0
01063,MA,Zip Code Area,1,1.0
01066,MA,Zip Code Area,2,2.0
01068,MA,Zip Code Area,2,2.0
01069,MA,Zip Code Area,1,1.0
01070,MA,Zip Code Area,2,2.0
01071,MA,Zip Code Area,2,2.0
01072,MA,Zip Code Area,2,2.0
01073,MA,Zip Code Area,2,2.0
01074,MA,Zip Code Area,2,2.0
01075,MA,Zip Code Area,1,1.0
01077,MA,Zip Code Area,1,1.0
01079,MA,Post Office or large volume customer,1,1.0
01080,MA,Zip Code Area,1,1.0
01081,MA,Zip Code Area,2,2.0
01082,MA,Zip Code Area,2,2.0
01083,MA,Zip Code Area,2,2.0
01084,MA,Zip Code Area,2,2.0
01085,MA,Zip Code Area,1,1.0
01086,MA,Post Office or large volume customer,1,1.0
01088,MA,Zip Code Area,2,2.0
01089,MA,Zip Code Area,1,1.0
01090,MA,Post Office or large volume customer,1,1.0
01092,MA,Zip Code Area,2,2.0
01093,MA,Post Office or large volume customer,2,2.0
01094,MA,Post Office or large volume customer,3,3.0
01095,MA,Zip Code Area,1,1.0
01096,MA,Zip Code Area,2,2.0
01097,MA,Post Office or large volume customer,2,2.0
01098,MA,Zip Code Area,2,2.0
01101,MA,Post Office or large volume customer,1,1.0
01102,MA,Post Office or large volume customer,1,1.0
01103,MA,Zip Code Area,1,1.0
01104,MA,Zip Code Area,1,1.0
01105,MA,Zip Code Area,1,1.0
01106,MA,Zip Code Area,1,1.0
01107,MA,Zip Code Area,1,1.0
01108,MA,Zip Code Area,1,1.0
01109,MA,Zip Code Area,1,1.0
01111,MA,Post Office or large volume customer,1,1.0
01115,MA,Post Office or large volume customer,1,1.0
01116,MA,Post Office or large volume customer,1,1.0
01118,MA,Zip Code Area,1,1.0
01119,MA,Zip Code Area,1,1.0
01128,MA,Zip Code Area,1,1.0
01129,MA,Zip Code Area,1,1.0
01138,MA,Post Office or large volume customer,1,1.0
01139,MA,Post Office or large volume customer,1,1.0
01144,MA,Post Office or large volume customer,1,1.0
01151,MA,Zip Code Area,1,1.0
01152,MA,Post Office or large volume customer,1,1.0
01199,MA,Post Office or large volume customer,1,1.0
01201,MA,Zip Code Area,1,1.0
01202,MA,Post Office or large volume customer,1,1.0
01203,MA,Post Office or large volume customer,1,1.0
01220,MA,Zip Code Area,1,1.0
01222,MA,Zip Code Area,10,10.0
01223,MA,Zip Code Area,2,2.0
01224,MA,Zip Code Area,1,1.0
01225,MA,Zip Code Area,1,1.0
01226,MA,Zip Code Area,1,1.0
01227,MA,Post Office or large volume customer,1,1.0
01229,MA,Post Office or large volume customer,10,10.0
01230,MA,Zip Code Area,7,7.0
01235,MA,Zip Code Area,2,2.0
01236,MA,Zip Code Area,7,7.0
01237,MA,Zip Code Area,1,1.0
01238,MA,Zip Code Area,7,7.0
01240,MA,Zip Code Area,7,7.0
01242,MA,Zip Code Area,7,7.0
01243,MA,Zip Code Area,2,2.0
01244,MA,Post Office or large volume customer,10,10.0
01245,MA,Zip Code Area,10,10.0
01247,MA,Zip Code Area,4,4.0
01252,MA,Post Office or large volume customer,10,10.0
01253,MA,Zip Code Area,10,10.0
01254,MA,Zip Code Area,2,2.0
01255,MA,Zip Code Area,10,10.0
01256,MA,Zip Code Area,2,2.0
01257,MA,Zip Code Area,10,10.0
01258,MA,Zip Code Area,10,10.0
01259,MA,Zip Code Area,10,10.0
01260,MA,Post Office or large volume customer,7,7.0
01262,MA,Zip Code Area,10,10.0
01263,MA,Post Office or large volume customer,10,10.0
01264,MA,Zip Code Area,10,10.0
01266,MA,Zip Code Area,10,10.0
01267,MA,Zip Code Area,4,4.0
01270,MA,Zip Code Area,2,2.0
01301,MA,Zip Code Area,4,4.0
01302,MA,Post Office or large volume customer,4,4.0
01330,MA,Zip Code Area,2,2.0
01331,MA,Zip Code Area,4,4.0
01337,MA,Zip Code Area,5,5.0
01338,MA,Zip Code Area,10,10.0
01339,MA,Zip Code Area,6,6.0
01340,MA,Zip Code Area,6,6.0
01341,MA,Zip Code Area,2,2.0
01342,MA,Zip Code Area,2,2.0
01343,MA,Zip Code Area,2,2.0
01344,MA,Zip Code Area,6,6.0
01346,MA,Zip Code Area,6,6.0
01347,MA,Post Office or large volume customer,4,4.0
01349,MA,Zip Code Area,4,4.0
01350,MA,Zip Code Area,6,6.0
01351,MA,Zip Code Area,4,4.0
01354,MA,Zip Code Area,5,5.0
01355,MA,Zip Code Area,2,2.0
01360,MA,Zip Code Area,5,5.0
01364,MA,Zip Code Area,4,4.0
01366,MA,Zip Code Area,3,3.0
01367,MA,Zip Code Area,6,6.0
01368,MA,Zip Code Area,1,1.0
01370,MA,Zip Code Area,10,10.0
01373,MA,Zip Code Area,2,2.0
01375,MA,Zip Code Area,2,2.0
